Month,Date,Time,Unit.code,ID.code,Sex,Diet.Item,Season
February,2/6/2015,3:18:09 PM,1,51,male,graminoid.leaves,dry
February,2/6/2015,3:25:28 PM,1,14,female,forb.leaves,dry
February,2/6/2015,3:46:46 PM,1,11,female,forb.leaves,dry
February,2/6/2015,3:46:46 PM,1,38,female,graminoid.leaves,dry
February,2/6/2015,3:46:46 PM,1,20,female,graminoid.leaves,dry
February,2/6/2015,3:55:20 PM,8,29,female,forb.leaves,dry
February,2/6/2015,4:07:18 PM,8,24,male,graminoid.leaves,dry
February,2/6/2015,4:17:28 PM,8,29,female,forb.leaves,dry
February,2/6/2015,4:17:28 PM,8,46,female,graminoid.leaves,dry
February,2/6/2015,4:17:28 PM,8,17,male,graminoid.leaves,dry
February,2/6/2015,4:17:28 PM,8,42,male,graminoid.leaves,dry
February,2/6/2015,4:17:28 PM,8,24,male,graminoid.leaves,dry
February,2/6/2015,4:27:39 PM,8,24,male,forb.leaves,dry
February,2/6/2015,4:27:39 PM,8,46,female,forb.leaves,dry
February,2/6/2015,4:27:39 PM,8,17,male,corm.bulb,dry
February,2/6/2015,4:27:39 PM,8,29,female,corm.bulb,dry
February,2/6/2015,4:27:39 PM,8,42,male,forb.roots,dry
February,2/6/2015,4:38:02 PM,8,29,female,forb.leaves,dry
February,2/6/2015,4:38:02 PM,8,42,male,graminoid.leaves,dry
February,2/6/2015,4:38:02 PM,8,17,male,corm.bulb,dry
February,2/6/2015,4:38:02 PM,8,24,male,unidentified.underground,dry
February,2/6/2015,4:48:39 PM,8,29,female,forb.leaves,dry
February,2/6/2015,4:48:39 PM,8,46,female,graminoid.leaves,dry
February,2/6/2015,4:48:39 PM,8,17,male,unidentified.underground,dry
February,2/6/2015,4:57:34 PM,8,29,female,graminoid.leaves,dry
February,2/6/2015,4:57:34 PM,8,17,male,graminoid.leaves,dry
February,2/6/2015,4:57:34 PM,8,46,female,graminoid.leaves,dry
February,2/6/2015,4:58:54 PM,8,24,male,graminoid.leaves,dry
February,2/6/2015,4:58:54 PM,8,42,male,graminoid.leaves,dry
February,2/6/2015,5:12:14 PM,4,12,female,graminoid.leaves,dry
February,2/6/2015,5:12:14 PM,4,15,female,corm.bulb,dry
February,2/6/2015,5:22:07 PM,4,15,female,forb.leaves,dry
February,2/6/2015,5:22:07 PM,4,12,female,graminoid.leaves,dry
February,2/6/2015,5:22:07 PM,4,13,male,graminoid.leaves,dry
February,2/6/2015,5:22:07 PM,4,50,female,graminoid.leaves,dry
February,2/7/2015,10:02:50 AM,3,45,female,graminoid.underground,dry
February,2/7/2015,10:03:00 AM,3,1,female,graminoid.underground,dry
February,2/7/2015,10:03:12 AM,3,5,male,graminoid.underground,dry
February,2/7/2015,10:12:40 AM,3,45,female,graminoid.underground,dry
